Name,Event,League,Date
Carli Crooks,Halloween 2007,Anderson Family Championship,10/31/2007
Gerry Crooks,Halloween 2007,Anderson Family Championship,10/31/2007
Quincy Crooks,Halloween 2007,Anderson Family Championship,10/31/2007
Alexie Beer,Halloween 2007,Anderson Family Championship,10/31/2007
Annabelle Beer,Thankgiving 2008,Anderson Family Championship,11/30/2008
Lenny Anderson,Thankgiving 2008,Anderson Family Championship,11/30/2008
Abigail Anderson,Thankgiving 2008,Anderson Family Championship,11/30/2008
Cooper Beer,Thankgiving 2008,Anderson Family Championship,11/30/2008
Lou Crooks,Thankgiving 2008,Anderson Family Championship,11/30/2008
Carli Crooks,Thankgiving 2008,Anderson Family Championship,11/30/2008
Gerry Crooks,Thankgiving 2008,Anderson Family Championship,11/30/2008
Quincy Crooks,Thankgiving 2008,Anderson Family Championship,11/30/2008
Alexie Beer,Thankgiving 2008,Anderson Family Championship,11/30/2008
Garfield Anderson,Thankgiving 2008,Anderson Family Championship,11/30/2008
Annabelle Beer,Fourth of July 2008,Anderson Family Championship,7/4/2008
Abigail Anderson,Fourth of July 2008,Anderson Family Championship,7/4/2008
Alexie Beer,Fourth of July 2008,Anderson Family Championship,7/4/2008
Cooper Beer,Fourth of July 2008,Anderson Family Championship,7/4/2008
Lenny Anderson,Fourth of July 2008,Anderson Family Championship,7/4/2008
Lou Crooks,Fourth of July 2008,Anderson Family Championship,7/4/2008
Carli Crooks,Fourth of July 2008,Anderson Family Championship,7/4/2008
Gerry Crooks,Fourth of July 2008,Anderson Family Championship,7/4/2008
Quincy Crooks,Fourth of July 2008,Anderson Family Championship,7/4/2008
Garfield Anderson,Fourth of July 2008,Anderson Family Championship,7/4/2008
Annabelle Beer,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Abigail Anderson,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Lenny Anderson,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Alexie Beer,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Cooper Beer,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Lou Crooks,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Carli Crooks,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Gerry Crooks,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Quincy Crooks,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Garfield Anderson,New Year's Eve 2008,Anderson Family Championship,12/31/2008
Cooper Beer,Labor Day 2008,Anderson Family Championship,9/3/2008
Garfield Anderson,Labor Day 2008,Anderson Family Championship,9/3/2008
Annabelle Beer,Labor Day 2008,Anderson Family Championship,9/3/2008
Abigail Anderson,Labor Day 2008,Anderson Family Championship,9/3/2008
Lenny Anderson,Labor Day 2008,Anderson Family Championship,9/3/2008
Alexie Beer,Labor Day 2008,Anderson Family Championship,9/3/2008
Lou Crooks,Labor Day 2008,Anderson Family Championship,9/3/2008
Carli Crooks,Labor Day 2008,Anderson Family Championship,9/3/2008
Gerry Crooks,Labor Day 2008,Anderson Family Championship,9/3/2008
Quincy Crooks,Labor Day 2008,Anderson Family Championship,9/3/2008
Cooper Beer,Halloween 2008,Anderson Family Championship,10/31/2008
Garfield Anderson,Halloween 2008,Anderson Family Championship,10/31/2008
Alexie Beer,Halloween 2008,Anderson Family Championship,10/31/2008
Annabelle Beer,Halloween 2008,Anderson Family Championship,10/31/2008
Abigail Anderson,Halloween 2008,Anderson Family Championship,10/31/2008
Gerry Crooks,Halloween 2008,Anderson Family Championship,10/31/2008
Lenny Anderson,Halloween 2008,Anderson Family Championship,10/31/2008
Lou Crooks,Halloween 2008,Anderson Family Championship,10/31/2008
Carli Crooks,Halloween 2008,Anderson Family Championship,10/31/2008
Quincy Crooks,Halloween 2008,Anderson Family Championship,10/31/2008
Cooper Beer,Thankgiving 2009,Anderson Family Championship,11/30/2009
Garfield Anderson,Thankgiving 2009,Anderson Family Championship,11/30/2009
Alexie Beer,Thankgiving 2009,Anderson Family Championship,11/30/2009
Quincy Crooks,Thankgiving 2009,Anderson Family Championship,11/30/2009
Annabelle Beer,Thankgiving 2009,Anderson Family Championship,11/30/2009
Abigail Anderson,Thankgiving 2009,Anderson Family Championship,11/30/2009
Gerry Crooks,Thankgiving 2009,Anderson Family Championship,11/30/2009
Lenny Anderson,Thankgiving 2009,Anderson Family Championship,11/30/2009
Lou Crooks,Thankgiving 2009,Anderson Family Championship,11/30/2009
Carli Crooks,Thankgiving 2009,Anderson Family Championship,11/30/2009
Cooper Beer,Fourth of July 2009,Anderson Family Championship,7/4/2009
Alexie Beer,Fourth of July 2009,Anderson Family Championship,7/4/2009
Quincy Crooks,Fourth of July 2009,Anderson Family Championship,7/4/2009
Garfield Anderson,Fourth of July 2009,Anderson Family Championship,7/4/2009
Annabelle Beer,Fourth of July 2009,Anderson Family Championship,7/4/2009
Abigail Anderson,Fourth of July 2009,Anderson Family Championship,7/4/2009
Gerry Crooks,Fourth of July 2009,Anderson Family Championship,7/4/2009
Lenny Anderson,Fourth of July 2009,Anderson Family Championship,7/4/2009
Lou Crooks,Fourth of July 2009,Anderson Family Championship,7/4/2009
Carli Crooks,Fourth of July 2009,Anderson Family Championship,7/4/2009
Cooper Beer,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Alexie Beer,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Quincy Crooks,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Garfield Anderson,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Annabelle Beer,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Abigail Anderson,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Gerry Crooks,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Lenny Anderson,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Lou Crooks,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Carli Crooks,New Year's Eve 2009,Anderson Family Championship,12/31/2009
Cooper Beer,Labor Day 2009,Anderson Family Championship,9/3/2009
Alexie Beer,Labor Day 2009,Anderson Family Championship,9/3/2009
Quincy Crooks,Labor Day 2009,Anderson Family Championship,9/3/2009
Annabelle Beer,Labor Day 2009,Anderson Family Championship,9/3/2009
Abigail Anderson,Labor Day 2009,Anderson Family Championship,9/3/2009
Gerry Crooks,Labor Day 2009,Anderson Family Championship,9/3/2009
Garfield Anderson,Labor Day 2009,Anderson Family Championship,9/3/2009
Carli Crooks,Labor Day 2009,Anderson Family Championship,9/3/2009
Lenny Anderson,Labor Day 2009,Anderson Family Championship,9/3/2009
Lou Crooks,Labor Day 2009,Anderson Family Championship,9/3/2009
Cooper Beer,Halloween 2009,Anderson Family Championship,10/31/2009
Alexie Beer,Halloween 2009,Anderson Family Championship,10/31/2009
Quincy Crooks,Halloween 2009,Anderson Family Championship,10/31/2009
Annabelle Beer,Halloween 2009,Anderson Family Championship,10/31/2009
Abigail Anderson,Halloween 2009,Anderson Family Championship,10/31/2009
Garfield Anderson,Halloween 2009,Anderson Family Championship,10/31/2009
Carli Crooks,Halloween 2009,Anderson Family Championship,10/31/2009
Lenny Anderson,Halloween 2009,Anderson Family Championship,10/31/2009
Gerry Crooks,Halloween 2009,Anderson Family Championship,10/31/2009
Lou Crooks,Halloween 2009,Anderson Family Championship,10/31/2009
Alexie Beer,Thankgiving 2010,Anderson Family Championship,11/30/2010
Quincy Crooks,Thankgiving 2010,Anderson Family Championship,11/30/2010
Abigail Anderson,Thankgiving 2010,Anderson Family Championship,11/30/2010
Garfield Anderson,Thankgiving 2010,Anderson Family Championship,11/30/2010
Carli Crooks,Thankgiving 2010,Anderson Family Championship,11/30/2010
Lenny Anderson,Thankgiving 2010,Anderson Family Championship,11/30/2010
Cooper Beer,Thankgiving 2010,Anderson Family Championship,11/30/2010
Gerry Crooks,Thankgiving 2010,Anderson Family Championship,11/30/2010
Lou Crooks,Thankgiving 2010,Anderson Family Championship,11/30/2010
Annabelle Beer,Thankgiving 2010,Anderson Family Championship,11/30/2010
Alexie Beer,Fourth of July 2010,Anderson Family Championship,7/4/2010
Quincy Crooks,Fourth of July 2010,Anderson Family Championship,7/4/2010
Lenny Anderson,Fourth of July 2010,Anderson Family Championship,7/4/2010
Gerry Crooks,Fourth of July 2010,Anderson Family Championship,7/4/2010
Abigail Anderson,Fourth of July 2010,Anderson Family Championship,7/4/2010
Garfield Anderson,Fourth of July 2010,Anderson Family Championship,7/4/2010
Carli Crooks,Fourth of July 2010,Anderson Family Championship,7/4/2010
Cooper Beer,Fourth of July 2010,Anderson Family Championship,7/4/2010
Lou Crooks,Fourth of July 2010,Anderson Family Championship,7/4/2010
Annabelle Beer,Fourth of July 2010,Anderson Family Championship,7/4/2010
Alexie Beer,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Quincy Crooks,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Lenny Anderson,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Gerry Crooks,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Abigail Anderson,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Garfield Anderson,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Carli Crooks,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Lou Crooks,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Annabelle Beer,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Cooper Beer,New Year's Eve 2010,Anderson Family Championship,12/31/2010
Alexie Beer,Labor Day 2010,Anderson Family Championship,9/3/2010
Lenny Anderson,Labor Day 2010,Anderson Family Championship,9/3/2010
Gerry Crooks,Labor Day 2010,Anderson Family Championship,9/3/2010
Abigail Anderson,Labor Day 2010,Anderson Family Championship,9/3/2010
Garfield Anderson,Labor Day 2010,Anderson Family Championship,9/3/2010
Carli Crooks,Labor Day 2010,Anderson Family Championship,9/3/2010
Lou Crooks,Labor Day 2010,Anderson Family Championship,9/3/2010
Quincy Crooks,Labor Day 2010,Anderson Family Championship,9/3/2010
Annabelle Beer,Labor Day 2010,Anderson Family Championship,9/3/2010
Cooper Beer,Labor Day 2010,Anderson Family Championship,9/3/2010
Alexie Beer,Halloween 2010,Anderson Family Championship,10/31/2010
Lenny Anderson,Halloween 2010,Anderson Family Championship,10/31/2010
Gerry Crooks,Halloween 2010,Anderson Family Championship,10/31/2010
Abigail Anderson,Halloween 2010,Anderson Family Championship,10/31/2010
Garfield Anderson,Halloween 2010,Anderson Family Championship,10/31/2010
Carli Crooks,Halloween 2010,Anderson Family Championship,10/31/2010
Lou Crooks,Halloween 2010,Anderson Family Championship,10/31/2010
Quincy Crooks,Halloween 2010,Anderson Family Championship,10/31/2010
Annabelle Beer,Halloween 2010,Anderson Family Championship,10/31/2010
Cooper Beer,Halloween 2010,Anderson Family Championship,10/31/2010
Alexie Beer,Thankgiving 2011,Anderson Family Championship,11/30/2011
Lenny Anderson,Thankgiving 2011,Anderson Family Championship,11/30/2011
Gerry Crooks,Thankgiving 2011,Anderson Family Championship,11/30/2011
Abigail Anderson,Thankgiving 2011,Anderson Family Championship,11/30/2011
Carli Crooks,Thankgiving 2011,Anderson Family Championship,11/30/2011
Lou Crooks,Thankgiving 2011,Anderson Family Championship,11/30/2011
Quincy Crooks,Thankgiving 2011,Anderson Family Championship,11/30/2011
Garfield Anderson,Thankgiving 2011,Anderson Family Championship,11/30/2011
Annabelle Beer,Thankgiving 2011,Anderson Family Championship,11/30/2011
Cooper Beer,Thankgiving 2011,Anderson Family Championship,11/30/2011
Alexie Beer,Fourth of July 2011,Anderson Family Championship,7/4/2011
Lenny Anderson,Fourth of July 2011,Anderson Family Championship,7/4/2011
Gerry Crooks,Fourth of July 2011,Anderson Family Championship,7/4/2011
Abigail Anderson,Fourth of July 2011,Anderson Family Championship,7/4/2011
Carli Crooks,Fourth of July 2011,Anderson Family Championship,7/4/2011
Lou Crooks,Fourth of July 2011,Anderson Family Championship,7/4/2011
Quincy Crooks,Fourth of July 2011,Anderson Family Championship,7/4/2011
Garfield Anderson,Fourth of July 2011,Anderson Family Championship,7/4/2011
Annabelle Beer,Fourth of July 2011,Anderson Family Championship,7/4/2011
Cooper Beer,Fourth of July 2011,Anderson Family Championship,7/4/2011
Alexie Beer,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Lenny Anderson,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Gerry Crooks,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Annabelle Beer,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Abigail Anderson,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Carli Crooks,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Lou Crooks,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Quincy Crooks,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Garfield Anderson,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Cooper Beer,New Year's Eve 2011,Anderson Family Championship,12/31/2011
Alexie Beer,Labor Day 2011,Anderson Family Championship,9/3/2011
Lenny Anderson,Labor Day 2011,Anderson Family Championship,9/3/2011
Gerry Crooks,Labor Day 2011,Anderson Family Championship,9/3/2011
Annabelle Beer,Labor Day 2011,Anderson Family Championship,9/3/2011
Garfield Anderson,Labor Day 2011,Anderson Family Championship,9/3/2011
Cooper Beer,Labor Day 2011,Anderson Family Championship,9/3/2011
Carli Crooks,Labor Day 2011,Anderson Family Championship,9/3/2011
Lou Crooks,Labor Day 2011,Anderson Family Championship,9/3/2011
Quincy Crooks,Labor Day 2011,Anderson Family Championship,9/3/2011
Abigail Anderson,Labor Day 2011,Anderson Family Championship,9/3/2011
Alexie Beer,Halloween 2011,Anderson Family Championship,10/31/2011
Gerry Crooks,Halloween 2011,Anderson Family Championship,10/31/2011
Annabelle Beer,Halloween 2011,Anderson Family Championship,10/31/2011
Garfield Anderson,Halloween 2011,Anderson Family Championship,10/31/2011
Cooper Beer,Halloween 2011,Anderson Family Championship,10/31/2011
Carli Crooks,Halloween 2011,Anderson Family Championship,10/31/2011
Lenny Anderson,Halloween 2011,Anderson Family Championship,10/31/2011
Lou Crooks,Halloween 2011,Anderson Family Championship,10/31/2011
Quincy Crooks,Halloween 2011,Anderson Family Championship,10/31/2011
Abigail Anderson,Halloween 2011,Anderson Family Championship,10/31/2011
Gerry Crooks,Thankgiving 2012,Anderson Family Championship,11/30/2012
Annabelle Beer,Thankgiving 2012,Anderson Family Championship,11/30/2012
Garfield Anderson,Thankgiving 2012,Anderson Family Championship,11/30/2012
Cooper Beer,Thankgiving 2012,Anderson Family Championship,11/30/2012
Carli Crooks,Thankgiving 2012,Anderson Family Championship,11/30/2012
Lenny Anderson,Thankgiving 2012,Anderson Family Championship,11/30/2012
Lou Crooks,Thankgiving 2012,Anderson Family Championship,11/30/2012
Quincy Crooks,Thankgiving 2012,Anderson Family Championship,11/30/2012
Abigail Anderson,Thankgiving 2012,Anderson Family Championship,11/30/2012
Alexie Beer,Thankgiving 2012,Anderson Family Championship,11/30/2012
Gerry Crooks,Fourth of July 2012,Anderson Family Championship,7/4/2012
Annabelle Beer,Fourth of July 2012,Anderson Family Championship,7/4/2012
Garfield Anderson,Fourth of July 2012,Anderson Family Championship,7/4/2012
Cooper Beer,Fourth of July 2012,Anderson Family Championship,7/4/2012
Carli Crooks,Fourth of July 2012,Anderson Family Championship,7/4/2012
Lenny Anderson,Fourth of July 2012,Anderson Family Championship,7/4/2012
Lou Crooks,Fourth of July 2012,Anderson Family Championship,7/4/2012
Abigail Anderson,Fourth of July 2012,Anderson Family Championship,7/4/2012
Quincy Crooks,Fourth of July 2012,Anderson Family Championship,7/4/2012
Alexie Beer,Fourth of July 2012,Anderson Family Championship,7/4/2012
Gerry Crooks,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Annabelle Beer,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Garfield Anderson,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Carli Crooks,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Lenny Anderson,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Cooper Beer,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Alexie Beer,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Lou Crooks,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Abigail Anderson,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Quincy Crooks,New Year's Eve 2012,Anderson Family Championship,12/31/2012
Gerry Crooks,Labor Day 2012,Anderson Family Championship,9/3/2012
Annabelle Beer,Labor Day 2012,Anderson Family Championship,9/3/2012
Garfield Anderson,Labor Day 2012,Anderson Family Championship,9/3/2012
Carli Crooks,Labor Day 2012,Anderson Family Championship,9/3/2012
Lenny Anderson,Labor Day 2012,Anderson Family Championship,9/3/2012
Cooper Beer,Labor Day 2012,Anderson Family Championship,9/3/2012
Alexie Beer,Labor Day 2012,Anderson Family Championship,9/3/2012
